ARREST_PRECINCT,ARREST_BORO,Precinct_ID
1,M,1
5,M,2
6,M,3
7,M,4
9,M,5
10,M,6
13,M,7
14,M,8
17,M,9
18,M,10
19,M,11
20,M,12
22,M,13
23,M,14
24,M,15
25,M,16
26,M,17
28,M,18
30,M,19
32,M,20
33,M,21
34,M,22
40,B,23
41,B,24
42,B,25
43,B,26
44,B,27
45,B,28
46,B,29
47,B,30
48,B,31
49,B,32
50,B,33
52,B,34
60,K,35
61,K,36
62,K,37
63,K,38
66,K,39
67,K,40
68,K,41
69,K,42
70,K,43
71,K,44
72,K,45
73,K,46
75,K,47
76,K,48
77,K,49
78,K,50
79,K,51
81,K,52
83,K,53
84,K,54
88,K,55
90,K,56
94,K,57
100,Q,58
101,Q,59
102,Q,60
103,Q,61
104,Q,62
105,Q,63
106,Q,64
107,Q,65
108,Q,66
109,Q,67
110,Q,68
111,Q,69
112,Q,70
113,Q,71
114,Q,72
115,Q,73
120,S,74
121,S,75
122,S,76
123,S,77
